"Country","Year","Sector","Site","Station","Reef.zone","benthic_name2","benthic_code","mean_cover","sd","Organization","Period","Source"
"Tanzania",2008,NA,"Tanga","Kipwani",NA,"Coral","HC",12,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kipwani",NA,"Recent Dead Coral","RDC",0,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kipwani",NA,"Rubble","RUB",5,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kipwani",NA,"Soft coral","SC",12,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kipwani",NA,"Seagrass","SGR",0,NA,"","Pre","GCRMN"
"Tanzania",2008,NA,"Tanga","Kipwani",NA,"Spongy","SPG",9,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kipwani",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kipwani",NA,"Algae-macro/fleshy","AMAC",0,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kipwani",NA,"Bare substrate","BS",21,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kipwani",NA,"Dead Standing coral","DC",33,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kipwani",NA,"Coral","HC",14,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kipwani",NA,"Recent Dead Coral","RDC",0,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kipwani",NA,"Rubble","RUB",6,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kipwani",NA,"Soft coral","SC",16,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kipwani",NA,"Seagrass","SGR",0,NA,"","Pre","GCRMN"
"Tanzania",2007,NA,"Tanga","Kipwani",NA,"Spongy","SPG",5,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Tanga","Kipwani",NA,"Coral","HC",21,NA,"","Pre","GCRMN"
"Tanzania",2001,NA,"Tanga","Kipwani",NA,"Recent Dead Coral","RDC",0,NA,"","Pre","GCRMN"
"Tanzania",2015,NA,"Mafia","Kifinge",NA,"Algae-coralline","ACOR",5,NA,"","Pre","GCRMN"
"Tanzania",2015,NA,"Mafia","Kifinge",NA,"Algae-macro/fleshy","AMAC",3,NA,"","Pre","GCRMN"
"Tanzania",2015,NA,"Mafia","Kifinge",NA,"Coral","HC",18,NA,"","Pre","GCRMN"
