"Country","Site","Station","Period","benthic_category","recent_year","no_years_benthic","recent_cover","ave_cover","cover","paste(algae_r1$Site, algae_r1$Station, sep = """")"
"Seychelles","Mahe NW","Site_X","Pre","HC",2016,5,20.87,42.574,42.574,"Mahe NWSite_X"
"Seychelles","Mahe NW","Site_X","Post","FA",2017,1,59.97,59.97,59.97,"Mahe NWSite_X"
"Seychelles","Mahe NW","Site_X","Post","HC",2017,1,12.22,12.22,12.22,"Mahe NWSite_X"
"Seychelles","Mahe NW","Site_Y","Pre","FA",2016,5,41.22,8.244,8.244,"Mahe NWSite_Y"
"Seychelles","Mahe NW","Site_Y","Pre","HC",2016,5,40.14,37.828,37.828,"Mahe NWSite_Y"
"Seychelles","Mahe NW","Site_Y","Post","FA",2017,1,49.48,49.48,49.48,"Mahe NWSite_Y"
"Seychelles","Mahe NW","Site_Y","Post","HC",2017,1,18.08,18.08,18.08,"Mahe NWSite_Y"
"Seychelles","Mahe NW","Therese_North_East","Pre","FA",2016,4,42.77,10.6925,10.6925,"Mahe NWTherese_North_East"
"Seychelles","Mahe NW","Therese_North_East","Pre","HC",2016,4,41.64,47.41,47.41,"Mahe NWTherese_North_East"
"Seychelles","Mahe NW","Therese_North_East","Post","FA",2017,1,34.87,34.87,34.87,"Mahe NWTherese_North_East"
"Seychelles","Mahe NW","Therese_North_East","Post","HC",2017,1,26.22,26.22,26.22,"Mahe NWTherese_North_East"
"Seychelles","Mahe NW","Therese_North_End","Pre","FA",2016,4,47.63,11.9075,11.9075,"Mahe NWTherese_North_End"
"Seychelles","Mahe NW","Therese_North_End","Pre","HC",2016,4,33.02,45.505,45.505,"Mahe NWTherese_North_End"
"Seychelles","Mahe NW","Therese_North_End","Post","FA",2017,1,30.18,30.18,30.18,"Mahe NWTherese_North_End"
"Seychelles","Mahe NW","Therese_North_End","Post","HC",2017,1,22.11,22.11,22.11,"Mahe NWTherese_North_End"
"Seychelles","Mahe NW","Therese_South","Pre","FA",2016,4,25.45,6.3625,6.3625,"Mahe NWTherese_South"
"Seychelles","Mahe NW","Therese_South","Pre","HC",2016,4,59.93,42.9825,42.9825,"Mahe NWTherese_South"
"Seychelles","Mahe NW","Therese_South","Post","FA",2017,1,5.01,5.01,5.01,"Mahe NWTherese_South"
"Seychelles","Mahe NW","Therese_South","Post","HC",2017,1,2.53,2.53,2.53,"Mahe NWTherese_South"
"Seychelles","Mahe NW","Whale_Rock","Pre","FA",2016,5,66.52,13.304,13.304,"Mahe NWWhale_Rock"
"Seychelles","Mahe NW","Whale_Rock","Pre","HC",2016,5,14.37,34.274,34.274,"Mahe NWWhale_Rock"
"Seychelles","Mahe NW","Whale_Rock","Post","FA",2017,1,58.26,58.26,58.26,"Mahe NWWhale_Rock"
"Seychelles","Mahe NW","Whale_Rock","Post","HC",2017,1,8.9,8.9,8.9,"Mahe NWWhale_Rock"
"Seychelles","Mahe NW","White_Villa_Reef","Pre","FA",2016,5,52.43,10.486,10.486,"Mahe NWWhite_Villa_Reef"
"Seychelles","Mahe NW","White_Villa_Reef","Pre","HC",2016,5,27.15,28.03,28.03,"Mahe NWWhite_Villa_Reef"
"Seychelles","Mahe NW","White_Villa_Reef","Post","FA",2017,1,43.48,43.48,43.48,"Mahe NWWhite_Villa_Reef"
"Seychelles","Mahe NW","White_Villa_Reef","Post","HC",2017,1,24.42,24.42,24.42,"Mahe NWWhite_Villa_Reef"
"Seychelles","Mahe NW","Willie's_Bay_Point","Pre","FA",2016,5,50.28,10.056,10.056,"Mahe NWWillie's_Bay_Point"
"Seychelles","Mahe NW","Willie's_Bay_Point","Pre","HC",2016,5,24.63,32.726,32.726,"Mahe NWWillie's_Bay_Point"
"Seychelles","Mahe NW","Willie's_Bay_Point","Post","FA",2017,1,76.13,76.13,76.13,"Mahe NWWillie's_Bay_Point"
"Seychelles","Mahe NW","Willie's_Bay_Point","Post","HC",2017,1,9.63,9.63,9.63,"Mahe NWWillie's_Bay_Point"
"Seychelles","Mahe NW","Willie's_Bay_Reef","Pre","FA",2016,1,62.41,62.41,62.41,"Mahe NWWillie's_Bay_Reef"
"Seychelles","Mahe NW","Willie's_Bay_Reef","Pre","HC",2016,1,29.94,29.94,29.94,"Mahe NWWillie's_Bay_Reef"
"Seychelles","Mahe NW","Willie's_Bay_Reef","Post","FA",2017,1,67.49,67.49,67.49,"Mahe NWWillie's_Bay_Reef"
"Seychelles","Mahe NW","Willie's_Bay_Reef","Post","HC",2017,1,8.32,8.32,8.32,"Mahe NWWillie's_Bay_Reef"
"Seychelles","North Reef","Coral_Gardens_North","Pre","FA",2015,2,10,16.5,16.5,"North ReefCoral_Gardens_North"
"Seychelles","North Reef","Coral_Gardens_North","Pre","HC",2015,2,48,31.5,31.5,"North ReefCoral_Gardens_North"
"Seychelles","North Reef","Coral_Gardens_North","Post","FA",2016,1,43,43,43,"North ReefCoral_Gardens_North"
"Seychelles","North Reef","Coral_Gardens_North","Post","HC",2016,1,5.69,5.69,5.69,"North ReefCoral_Gardens_North"
"Seychelles","North Reef","Coral_Gardens_South","Pre","FA",2015,2,8,20.5,20.5,"North ReefCoral_Gardens_South"
"Seychelles","North Reef","Coral_Gardens_South","Pre","HC",2015,2,35,20,20,"North ReefCoral_Gardens_South"
"Seychelles","North Reef","Coral_Gardens_South","Post","FA",2016,1,40,40,40,"North ReefCoral_Gardens_South"
"Seychelles","North Reef","Coral_Gardens_South","Post","HC",2016,1,15,15,15,"North ReefCoral_Gardens_South"
"Seychelles","North Reef","House_Reef","Pre","FA",2015,2,0,15.5,15.5,"North ReefHouse_Reef"
"Seychelles","North Reef","House_Reef","Pre","HC",2015,2,9,7,7,"North ReefHouse_Reef"
